model,trial,seed,stage,auto_success,calls,steps,termination,any_contact,any_grasp,first_grasp_step,first_lift_step,first_lift_call,max_bottom_z,held_min_bowl_distance,final_bowl_distance,review_basis
deepseek-v4.1-flash,2,2001,3,0.0,20,900,max_steps,True,True,732,762,18,1.1577392081999005,0.044327695712226216,0.09959360066738432,"Block was grasped steps 732-811 and lifted well off the table (bottom z up to ~1.16 m); at step 787 the held block was 4.4 cm from bowl_xy and frames 784-790 show it passing above the bowl (bowl opening is visibly ~10-13 cm wide). Grasp ended near step 812 at 8.8 cm from bowl center and the block fell and came to rest ~10 cm from bowl_xy on the table against the bowl's outer wall (steps 860-900), so it was never released inside the bowl."
deepseek-v4.1-flash,3,2002,0,0.0,17,900,max_steps,False,False,,,,0.7997844891595659,,0.21334348407220383,"any_gripper_contact is false for all 900 steps and the block's x/y never changed from its settled spawn pose; closest eef-to-block approach was ~5.4 cm at step 760, where the gripper closed to 0.016 in empty space beside the block. No actual contact ever occurred."
deepseek-v4.1-flash,4,2003,0,0.0,15,900,max_steps,False,False,,,,0.7997844891595659,,0.23177988553537082,any_gripper_contact is false for all 900 steps and the block's x/y stayed at its settled spawn position; the closest eef-to-block approach was ~5.2 cm at step 890 with the gripper still open (~0.77). No actual contact ever occurred.
deepseek-v4.1-flash,5,2004,0,0.0,20,637,give_up,False,False,,,,0.7997844891595659,,0.24071690722428582,any_gripper_contact is false at every step of the 637-step clip and the block never moved; the eef never came within 12 cm of the block (closest ~0.121 m at step 610). No actual contact ever occurred.
deepseek-v4.1-flash,6,2005,0,0.0,20,467,give_up,False,False,,,,0.7997844891595659,,0.23894312957853392,"any_gripper_contact=false for all 468 steps with cube_pos and cube_quat exactly constant (unique quaternion, bottom_z fixed at 0.7998 after the spawn settle), so the block was never touched; sheets/frames around the closest approaches (steps 240-467, e.g. step 340 and final step 467) show a visible gap and the jaws closing to measured_gripper ~0.012 on empty air."
deepseek-v4.1-flash,7,2006,1,0.0,20,781,give_up,True,False,,,,0.7997844891595659,,0.21974107144132962,"any_gripper_contact=true for steps 574-766 and the block was visibly pushed/tilted and slid ~4 cm in that interval (cube xy displacement up to 0.041 m by step 767; frames 749/766 show the fingers against the block), which is genuine contact; grasped stayed false and cube_bottom_z never rose above 0.7998, so it was never grasped or lifted."
deepseek-v4.1-flash,8,2007,0,0.0,19,774,give_up,False,False,,,,0.7997844891595659,,0.2290746947582022,"any_gripper_contact=false for all 775 steps and cube_pos/cube_quat remain exactly constant (bottom_z 0.7998 throughout), even though the jaws close to measured_gripper ~0.016 beside the block at steps 720-774; sheets 05-07 and frames 740/760 show the block upright and undisturbed next to, not between, the fingers."
deepseek-v4.1-flash,9,2008,4,1.0,15,602,success,True,True,419,446,10,0.9040453863830642,0.0064324568726449914,0.008392539610904366,"grasped=true steps 419-598 with cube_bottom_z lifted to 0.904 (step 505), and while held the block xy was within 3 cm of bowl_xy from step 514 (6-9 mm by steps 590-598); after the last grasp at step 598 the block fell and settled inside the bowl (final cube at 8 mm from bowl_xy, bottom_z ~0.795 at step 602), corroborated by frames 598-602 showing it nested in the blue bowl while the gripper opens above."
deepseek-v4.1-flash,10,2009,0,0.0,13,59,give_up,False,False,,,,0.7997844891595659,,0.2168466370521067,"any_gripper_contact=false for all 59 steps and the cube never moves; the gripper only descends to ~15 cm above the block with jaws still open (eef z 0.9688, measured_gripper 0.997 at step 59, |eef-cube| 0.164 m), as also seen in sheet-01, so approach never became contact."
deepseek-v4.1-flash,11,2010,2,0.0,20,665,give_up,True,True,400,437,16,0.9021590075879836,0.1901622928886482,0.1938820066185809,"Contact flagged from step 307 and during 396-479 / 559-641; the cube was grasped and carried up (grasped=true, cube_bottom_z 0.799->0.902 at step 460, and ->0.864 at step 640, tracking the eef height), then released ~step 642 and fell back to the table. Closest cube-to-bowl-center distance while held was 0.19 m (step 641) and final rest was 0.19 m from bowl center, so it was never over or inside the bowl."
deepseek-v4.1-flash,12,2011,0,0.0,20,463,give_up,False,False,,,,0.7997844891595659,,0.22872583181194628,"any_gripper_contact=false for all 464 steps and the cube pose never changed (max displacement 0.0000 m, quaternion delta ~1e-16, velocity nonzero only in steps 1-3 settling). Frames at step 463 show the closed gripper beside the cube with a visible gap - approach only, no contact."
deepseek-v4.1-flash,13,2012,0,0.0,20,455,give_up,False,False,,,,0.7997844891595659,,0.21741360343958976,"No contact flag in any of the 455 steps and the cube never moved (0.0000 m, quaternion delta ~1e-16). Zoomed side frames at steps 400 and 455 show the closed fingers a few mm from the cube's face without touching (closest eef-cube 6.5 cm) - approach only."
deepseek-v4.1-flash,14,2013,0,0.0,20,609,give_up,False,False,,,,0.7997844891595659,,0.27343174883437443,"any_gripper_contact=false throughout all 610 steps with cube pose bit-identical (max displacement 0.0000 m, quaternion delta ~1e-16). Side frames at steps 400/460/609 show the closed gripper hovering beside the untouched cube with a clear gap (closest eef-cube 9.1 cm)."
deepseek-v4.1-flash,15,2014,0,0.0,15,900,max_steps,False,False,,,,0.7997844891595659,,0.21671400816471548,"No contact flag across all 900 steps; cube never moved (max displacement 0.0000 m, quaternion delta ~7e-17). Closest eef-cube approach was 7.1 cm (step 436) and wrist views show the gripper mostly over the bowl area - the cube was never reached or touched."
deepseek-v4.1-flash,16,2015,1,0.0,15,900,max_steps,True,False,,,,0.7997844891595658,,0.2193888125789828,"any_gripper_contact=true at steps 892,894,896-900 as the gripper closed; cube xy first deviated at step 892 and was nudged ~6.9mm/rotated by step 900 (frames 892-900 confirm fingers at the block). grasped stayed false and cube_bottom_z stayed ~0.80m, so the block was never lifted."
deepseek-v4.1-flash,17,2016,0,0.0,20,764,give_up,False,False,,,,0.7997844891595659,,0.25359992265752845,"any_gripper_contact=false for all 765 steps and cube xy/quaternion are exactly constant post-settle; at steps 740-764 the gripper closed to 0.016 while still ~5.8cm from the block center (frames 760/764 show a gap), so no contact occurred."
deepseek-v4.1-flash,18,2017,0,0.0,15,900,max_steps,False,False,,,,0.7997844891595659,,0.23142517223253245,"No contact flag in any of the 900 steps; cube xy and quaternion are exactly constant and the block never moves (frames agree). Gripper closes to 0.033 at step 900 while ~8.6cm from the block center, never reaching it."
deepseek-v4.1-flash,19,2018,0,0.0,17,900,max_steps,False,False,,,,0.7997844891595659,,0.2790828145138195,No contact flag across 900 steps; cube xy/quaternion exactly constant in trajectory and frames. Gripper remains open (measured_gripper 0.98) and hovers ~8.2cm from the block center at step 900.
deepseek-v4.1-flash,20,2019,0,0.0,20,873,give_up,False,False,,,,0.7997844891595659,,0.2234923977122099,"No contact flag in any of the 873 steps; cube xy/quaternion exactly constant and the block is visually stationary in all sheets. Gripper closes to 0.016 at step 873 while ~6.2cm from the block center, with no touch or nudge."
qwen3.8-flash,1,2000,1,0.0,20,882,give_up,True,False,,,,0.7997844891595659,,0.22201645361742509,"open fingertips on block side at steps 736-840, block never leaves table (frames to 882)"
qwen3.8-flash,2,2001,1,0.0,20,555,give_up,True,True,280,,,0.7999493968013881,0.21678960787123752,0.21158724681864952,"fingers closed on block at 280-302 but it only slides; never lifted, ends on table at 555"
qwen3.8-flash,3,2002,2,0.0,19,621,give_up,True,True,78,153,9,0.9342505624896622,0.07875750551583786,0.0995274550950808,held and lifted to bottom z 0.925 (steps 160-320) but at closest held approach 300-320 the block is wholly outside the bowl silhouette; released at 321 and rests on the table beside the bowl
qwen3.8-flash,4,2003,4,1.0,19,713,success,True,True,507,540,15,0.9793638372629353,0.02439860637862652,0.010232170415434118,"held lift from ~543, above the opening while held 660-709, gripper opens at 710, block at rest inside the bowl by 713 (bottom z 0.793 < table 0.80, 10 mm from bowl axis)"
qwen3.8-flash,5,2004,1,0.0,20,820,give_up,True,False,,,,0.7999906073105572,,0.21564994042307578,fingers on block 191-650 but it stays on the table top through step 820
qwen3.8-flash,6,2005,1,0.0,20,824,give_up,True,True,766,,,0.8000056586764147,0.22161330453954142,0.23346267559459213,"grips and tips the block at 577-580, bottom never rises above the table, flat again by 600"
qwen3.8-flash,7,2006,0,0.0,20,716,give_up,False,False,,,,0.7997844891600647,,0.21742003165826548,closest approach 700-716 is occlusion only; the block pose is bit-identical for the whole clip
qwen3.8-flash,8,2007,1,0.0,18,554,give_up,True,False,,,,0.7999595049474607,,0.18701424653169077,fingers press and tilt the block from 341 (tipped pose in wrist view) but it never leaves the table
qwen3.8-flash,9,2008,0,0.0,19,900,max_steps,False,False,,,,0.7997844891595659,,0.25502937343810844,"gripper hovers above/beside; block unchanged for all 900 steps, bottom z stays at table level"
qwen3.8-flash,10,2009,0,0.0,19,784,give_up,False,False,,,,0.7997844891595659,,0.2168466370521067,gripper closes in mid-air ~38 mm above the block at 784; the block never shifts or tilts
qwen3.8-flash,11,2010,0,0.0,20,479,give_up,False,False,,,,0.7997844891595659,,0.21522603182331615,"gripper stays ~12 cm from the block, block unmoved through 479"
qwen3.8-flash,12,2011,1,0.0,18,472,give_up,True,False,,,,0.7997844891595659,,0.24024347739401467,open fingers on the block ~417-449 drag it ~8 cm across the table; bottom z never above the table rest level
qwen3.8-flash,13,2012,4,1.0,17,163,success,True,True,96,122,13,0.9270227238610607,0.019823122298468436,0.009083339873595183,"grasp ~100, held lift 130-159, over the opening 152-160, release at 160, block seated inside the bowl at 163 with the gripper open and retracted"
qwen3.8-flash,14,2013,0,0.0,19,547,give_up,False,False,,,,0.7997844891595659,,0.27343174883437443,hovers and closes in mid-air (step 400) beside an unmoved block; zero contact through 547
qwen3.8-flash,15,2014,1,0.0,20,784,give_up,True,False,,,,0.7997844891595659,,0.20767167034699133,"real contact from ~753, block tilted/pushed under the gripper 780-784, never lifted"
qwen3.8-flash,16,2015,1,0.0,20,702,give_up,True,False,,,,0.7998627704034363,,0.22070265193237476,fingers press the block from ~661 (slightly tilted) but it never leaves the table; gripper retracts empty at 700-702
qwen3.8-flash,17,2016,4,1.0,18,835,success,True,True,617,659,14,0.910332447270835,0.029878583884796254,0.010040377142042834,"grasp ~617 lifts block (bottom z 0.80 to 0.91 by 735), above the mouth 800-828, opens at 829, block inside the bowl at rest at 834-835"
qwen3.8-flash,18,2017,0,0.0,15,764,give_up,False,False,,,,0.7997844891595659,,0.23142517223253245,descends and closes beside/above the block ~540-600 but never touches it; block constant through 764
qwen3.8-flash,19,2018,4,1.0,17,707,success,True,True,538,565,14,0.9309375918848994,0.007759202880245841,0.009514707545254554,"lift to bottom z 0.93 at 609, held over the bowl centre 660-704 (0.008-0.010 m from axis), release at 705, block at rest inside the bowl at 707"
qwen3.8-flash,20,2019,3,0.0,20,684,give_up,True,True,623,654,17,0.866001086168967,0.05835871610348491,0.05835871610348491,"contact 621, grasp 623, lift from ~646, held over the bowl mouth 675-684; still grasped at the final step, no release, so not 4"
